SEARCH_TERMS,TITLE,SUMMARY,KEYWORDS,PUBLISHED_DATE,LINK,SOURCE,SOURCE_URL,SENTIMENT,POLARITY,LAST_RUN_TIMESTAMP
Cyberattacks,Research: Automotive Sector Cyberattacks Cost Tens of Billions in Damage - DBusiness Magazine,,"['ai', 'report', '2024', 'cyberattacks', 'attacks', 'research', 'cost', 'tens', 'automotive', 'sector', 'cybersecurity', 'data', 'systems', 'vulnerabilities', 'billions', 'damage', 'operational']",2025-04-07,https://www.dbusiness.com/hustle-and-muscle-articles/research-automotive-sector-cyberattacks-cost-tens-of-billions-in-damage/,dbusiness magazine,https://www.dbusiness.com,neutral,0.0,2025-04-08T06:04:08.161871
Cyberattacks,Data on over 90K people was taken in Highline schools cyberattack - The Seattle Times,,[],2025-04-07,https://www.seattletimes.com/education-lab/cyberattack-on-highline-schools-compromised-data-of-over-90000-people/,the seattle times,https://www.seattletimes.com,neutral,0.0,2025-04-08T06:04:08.161871
Cyberattacks,"After Cyberattack, Crystal D Fully Operational Again - members.asicentral.com",,"['promotional', 'support', 'orders', 'restores', 'cyberattack', 'operations', 'crystal', 'received', 'customers', 'work', 'd', 'products', 'supplier']",2025-04-07,https://members.asicentral.com/news/industry-news/april-2025/after-cyberattack-crystal-d-fully-operational-again/,members.asicentral.com,https://members.asicentral.com,neutral,0.0,2025-04-08T06:04:08.161871
Cyberattacks,SMEs are losing billions to cyberattacks every year - TechRadar,,"['business', 'businesses', 'cyberattacks', 'financial', 'risk', 'credit', 'smes', 'cybersecurity', 'transunion', 'vodafone', 'training', 'losing', 'billions']",2025-04-07,https://www.techradar.com/pro/security/smes-are-losing-billions-to-cyberattacks-every-year,techradar,https://www.techradar.com,neutral,0.0,2025-04-08T06:04:08.161871
Cyberattacks,Pennsylvania Teachers Union Members Sue After Cyberattack Exposes Personal Data - The 74,,"['lawsuits', 'personal', 'members', 'numbers', 'cyberattack', 'information', 'plaintiffs', 'breach', 'properly', 'data', 'exposes', 'teachers', 'systems', 'union', 'sue', 'pennsylvania']",2025-04-07,https://www.the74million.org/article/pennsylvania-teachers-union-members-sue-after-cyberattack-exposes-personal-data/,the 74,https://www.the74million.org,neutral,0.0,2025-04-08T06:04:08.161871
Cyberattacks,SpyCloud Research Shows that Endpoint Detection and Antivirus Solutions Miss Two-Thirds (66%) of Malware Infections - csoonline.com,,"['shows', 'solutions', 'users', 'infections', 'spycloud', 'detection', 'identity', 'malware', 'research', 'protection', 'endpoint', 'twothirds', 'data', 'edr', 'security', 'miss']",2025-04-07,https://www.csoonline.com/article/3956075/spycloud-research-shows-that-endpoint-detection-and-antivirus-solutions-miss-two-thirds-66-of-malware-infections.html,csoonline.com,https://www.csoonline.com,neutral,0.0,2025-04-08T06:04:08.161871
Cyberattacks,CISA adds Ivanti Connect Secure vulnerability to KEV catalog - Cybersecurity Dive,,"['catalog', 'ivanti', 'flaw', 'kev', 'connect', 'ics', 'exploited', 'cisa', 'vulnerability', 'security', 'adds', 'secure', 'devices', 'threat']",2025-04-07,https://www.cybersecuritydive.com/news/cisa-ivanti-connect-secure-vulnerability-kev/744603/,cybersecurity dive,https://www.cybersecuritydive.com,neutral,0.0,2025-04-08T06:04:08.161871
Cyberattacks,"Key sectors facing cyber threats from deepfakes, AI-generated content: Report - Times of India",,"['cyber', 'growing', 'report', 'deepfakes', 'facing', 'attacks', 'increasingly', 'financial', 'key', 'threats', 'sector', 'aigenerated', 'content', 'models', 'threat', 'sectors']",2025-04-07,https://timesofindia.indiatimes.com/india/key-sectors-facing-cyber-threats-from-deepfakes-ai-generated-content-report/articleshow/120076636.cms,times of india,https://timesofindia.indiatimes.com,neutral,0.0,2025-04-08T06:04:08.161871
Cyberattacks,"Capital Region Planning Commission was victim of cyberattack that cost $90,000, audit says - WBRZ",,"['region', 'commission', 'systemsthe', 'cost', 'cyberattack', '90000', 'audit', 'unauthorized', 'vendors', 'victim', 'capital', 'transferred', 'planning', 'funds', 'payments']",2025-04-07,https://www.wbrz.com/news/capital-region-planning-commission-was-victim-of-cyberattack-that-cost-90-000-audit-says/,wbrz,https://www.wbrz.com,neutral,0.0,2025-04-08T06:04:08.161871
Cyberattacks,Cyberattack Hits Major Australian Superannuation Funds - Evrim Ağacı,,"['recent', 'major', 'cbus', 'members', 'cyberattack', 'superannuation', 'hits', 'security', 'breaches', 'accounts', 'funds', 'australian']",2025-04-07,https://evrimagaci.org/tpg/cyberattack-hits-major-australian-superannuation-funds-315251,evrim ağacı,https://evrimagaci.org,neutral,0.0,2025-04-08T06:04:08.161871
