ENTERPRISE_RISK_ID,SEARCH_TERMS
2,Cyberattacks
2,Ransomware
2,Malware
2,Phishing
2,Email account takeovers
2,Nation-state actors
2,Distributed denial of service (DDoS) attacks
2,Botnets
2,REvil
2,Netwalker
2,Maze
2,Conti
2,DoppelPaymer
2,Data breach
2,CISA security advisor
2,Data privacy regulations
2,Data breach regulations
2,Malicious insider attack
2,Quantum Computing
4,Regulation BI and Form CRS
4,FINRA (Financial Industry Regulatory Authority)
4,Broker-dealer migration to Investment Advisors
4,Broker-dealers
4,Registered Investment Advisors (RIAs)
4,Investment adviser
4,Migration of assets to IA Channel
4,Fee-based accounts
4,DOL Fiduciary Rule
4,Dually registered BD/IA
4,ERISA
4,State fiduciary rule
4,DOL Independent Contractor Classification Rule
6,Chicago Board Options Exchange (CBOE)
6,Boston Options Exchange (BOX)
6,Investors Exchange (IEX)
6,MIAX
6,Long-Term Stock Exchange (LTSE)
6,Members Exchange (MEMX)
6,Cross-market surveillance
6,SRO immunity
6,"FINRA CAT, LLC"
6,FINRA Market Surveillance
6,Consolidated Audit Trail (CAT)
6,SEC CAT Security Amendment
1,FINRA Constitutionality
7,Deepfakes
7,Misinformation
7,Hallucinations
7,Disinformation
5,Public Investors Advocate Bar Association (PIABA)
5,Securities and Exchange Commission (SEC)
5,Gary Gensler
5,Commodity Futures Trading Commission (CFTC)
5,North American Securities Administration Association (NASAA)
5,U.S. Department of the Treasury
5,Municipal Securities Rulemaking Board (MSRB)
5,Securities Industry and Financial Markets Association (SIFMA)
5,House financial services committee
5,Senate Banking Committee
5,Securities Regulation
5,Subcommittee on Digital Assets
5,Robert Cook (FINRA)
8,Bird Flu
8,Third-party disruptions
8,Geopolitical Tensions
8,AWS outage
3,Funding portals and crowdfunding offerings
3,Crypto retail investor fraud
3,Retail investor fraud
3,Cryptocurrency
3,Fintech
3,Finfluencers
3,Gamification
3,0TDE
3,Payment for order flow (PFOF)
3,Best execution rule
3,Options contracts
3,Alternative trading systems (ATS)
3,leveraged exchange-traded products (ETPs)
3,Inverse exchange-traded products (ETPs)
3,Variable annuities
3,Security-based Swap (SBS)
3,Fractional shares
3,SEC Market Data Infrastructure
3,Market manipulation
3,Spoofing
3,Self-directed trading
3,Investment fraud
3,High risk brokers
10,FINRA advanced analytics
10,Reg SCI
11,"Diversity, equity, and inclusion (DEI)"
11,Unemployment Rate
11,Quit Rate
11,Wage Growth
